sample,2-aminoadipic acid,2'-Deoxycytidine 5'-monophosphoric acid,3-phosphoglycerate,4-aminobutyric acid (GABA),Adenine,Arachidic acid,Beta-alanine,Carbonate ion,Citric acid,Dehydroalanine,D-fructose-6-phosphate,D-GLC-6-phosphate,D-xylose,D-xylulose-5-phosphate,Fumaric acid,Glycine,Glycolic acid,Heptadecanoic acid,Lactic acid,Lactobionic acid,L-aspartic acid,L-citrulline,L-cysteine,L-glutamic acid,L-glutamine,L-homoserine,L-isoleucine,L-leucine,L-lysine,L-malic acid,L-ornithine,L-PHEnylalanine,L-proline,L-pyroglutamic acid,L-serine,L-threonine,L-tyrosine,L-valine,Maleamic acid,Methyl phosphate,Myo-inositol,Myristic acid,"N,N-dimethyl-L-histidine",N-ethylglycine,N-methylalanine,Oleic acid,Oxalic acid,Palmitic acid,Palmitoleic acid,Phosphate Ion,Pyrophosphate,Scyllo-inositol,Sedoheptulose anhydride monohydrate,Sedoheptulose-7-phosphate,Stearic acid,Succinic acid,Thymine,Trehalose,Trehalose-6-phosphate,Uracil,"1,4-butanediol",1-hexadecanol,2-hydroxypyridine,2-phosphoglyceric acid,Adenosine-5-monophosphate,"Benzene-1,2,4-triol",Ethanolamine,Gluconolactone,Glycerol 3-phosphate,Glyoxylic acid,Guanosine-5'-monophosphate,Hypoxanthine,Isomaltose,Lauric acid,L-methionine sulfoxide,Maltotriitol,Maltotriose,Melibiose,O-phospho-L-serine,PhlorobenzoPHEnone,Phytanic acid,Porphine,Shikimate-3-phosphate,Turanose,Unknown - Carbohydrate 001,Unknown - Carbohydrate 002
SG_1,361520.3973,158448.3434,322605.0733,677195.0481,710902.5555,21587.08363,1742924.769,2187317.706,73643.828,317216.4194,494423.5926,423658.2758,2028736.031,183339.3501,168314.1489,1998364.135,141241.0639,105736.2923,176995.3863,457575.0963,4152843.291,509802.1077,5739.861804,71429120.07,7045656.635,341744.9778,1246732.01,617857.5047,4731910.946,54159.01614,837797.4772,194290.4196,328879.9219,45083991.83,1809433.025,3393411.358,1282346.679,1598031.101,1051553.294,161262.6159,1162029.493,270596.9672,818198.2671,279198.2554,659139.8008,97967.82883,241865.9599,2285366.79,252458.0528,117263225.7,3687845.057,557903.3325,147984.9897,171422.4555,1591377.409,420150.0547,254280.1055,224293777.2,184039.7692,280351.3854,64897.56241,13567.05911,1264148.376,624391.3526,65417.31696,12141743.6,572394.735,668947.0136,2939437.454,473743.6405,10624034.8,0,69647.72346,55843.23684,57650.95129,0,197109.0981,154515.4823,912327.9657,54886.78433,53255.60385,1567848.059,79592.7445,41592.87779,106902.7727,178790.7357
SG_2,227309.5576,213583.3661,312837.4294,575822.1064,510742.4749,30589.63167,1362157.065,2078919.836,85094.11759,336929.763,441223.2334,399515.0611,1707080.821,84530.83179,117022.5413,1737380.348,189167.0341,44903.26676,150557.5559,501898.8618,1893979.573,489013.39,15278.49867,60880610.6,3621625.038,171768.0131,776070.1881,70336.01997,4416971.288,123540.0407,727742.6953,131899.7445,170375.5545,44679007.27,1038813.942,1857196.441,2234590.398,952840.9007,356065.1369,284211.2381,1130986.636,353272.9494,381870.2233,347908.2406,833349.9707,42171.56527,250631.6877,2235888.515,113847.1702,102447134.5,5387498.528,445174.8589,117583.5967,151294.6051,1183758.311,134013.5243,313387.961,61811739.64,140529.9863,52275.23212,34278.06886,24618.99943,960939.2913,321497.4902,70673.67258,9465402.543,173524.7746,610311.7892,2719318.511,189109.6002,9144315.009,47579.83892,0,64953.82594,33682.73078,0,132211.9452,178537.3888,546466.6858,13966.87377,54527.47672,942871.5776,101591.3118,125701.0055,92505.27963,61108.72574
SG_3,398074.8856,211939.4967,296180.631,819996.2312,618736.8906,43765.31576,1604466.573,2008970.447,110175.1601,515591.83,532374.7626,465356.3937,2405661.477,130904.7896,143363.6065,1118409.732,132736.2182,53495.14638,156252.9298,459711.4064,3448164.71,507235.2248,4389.991933,88380186.09,6079384.728,224865.8256,771373.5036,206800.5141,4194140.777,143057.368,753803.504,9601237.31,12849.17321,44943434.28,1848037.849,3531632.148,1192128.211,1052846.619,759362.2776,239752.1731,1114647.484,347055.6601,593480.7043,175308.3584,545598.8488,61475.48263,284192.781,2655466.125,351898.9702,111538320.5,5802249.967,529896.0772,123273.3315,160372.2817,1949812.691,360624.7284,434601.2863,206321649.8,125707.1815,51637.03103,26890.95132,11800.42621,1087308.378,512571.5064,67936.64019,9913295.092,434819.9048,807810.0985,2975475.637,259466.1051,9743127.912,65883.34801,39153.76907,54391.55121,68076.39291,19900.15745,130384.7345,92173.05823,656821.3752,26902.5832,56933.25213,1269753.696,74901.17809,93064.52323,130229.3413,70565.03836
GLC_1,307148.4264,67093.51243,688993.8748,78968.41042,454156.457,49204.36451,1682083.443,1673533.919,260517.7572,195437.2737,1199739.899,1469136.857,23805.62502,378049.3349,158037.1499,993123.0171,116358.4374,451147.6016,153434.1205,320351.3953,3425290.643,25311.03113,18438.42798,72424130.45,15639461.81,191808.7384,240378.5376,133274.4035,2275603.632,94673.14638,580133.1999,7924928.072,96972.69278,55293780.85,794203.4544,986307.2574,670459.15,424195.5196,1135411.295,0,1616662.095,191684.394,0,16793.3162,296418.3871,676174.1034,165991.8704,3359067.804,549382.5808,167604797.7,605576.494,510011.2229,278137.4091,788596.2096,1961440.29,751913.8733,249671.1236,263042.9435,112055.2784,438947.4918,53058.90456,55973.05739,1138601.705,231300.1348,77653.09127,5961467.512,374274.6673,480762.1814,5157918.369,320461.8533,4072828.517,0,25547.31148,82380.82526,29902.61152,187856.8411,91569.05481,73835.03454,144954.9312,24396.52207,80936.68966,1503871.946,76117.45934,73153.62331,33556.78625,93378.79106
GLC_2,524399.0083,92799.06573,846794.3694,272475.1993,429740.5506,54159.88575,1807988.441,1892648.079,289564.4238,260805.1545,1329242.593,1513264.057,31784.26708,350440.7774,150853.1947,8035.266056,104575.279,389472.5457,216288.1075,347833.6303,4970898.41,9101.607102,11560.92372,97021359.58,19606092.64,125937.2102,334406.9543,256093.2153,2599468.037,112390.3686,675668.2337,10607031.77,18786.57677,70357244.83,883035.348,1108327.349,762091.9823,421615.6935,1058120.127,55580.01551,1679600.671,173285.0251,11025.65674,73499,112977.2923,499137.2031,188193.3247,2831555.448,206904.5533,175979046.4,1096878.472,533600.111,274752.6767,646963.191,1445947.585,785084.3825,232832.9221,262986.8964,213034.4525,270986.1241,56568.57216,61683.79359,1155821.209,203515.7929,206809.0486,6118800.247,164179.0305,503557.344,5475203.271,102667.1636,7116402.472,0,34369.8561,106322.54,38560.50169,227987.4043,88155.78074,89790.55155,180957.4926,21501.92932,57578.22687,1347206.084,92921.82743,102860.2224,17502.19077,94526.40215
GLC_3,275079.3403,91128.01027,541526.933,85734.55651,392350.9899,55007.71791,1366642.368,2027582.822,228498.8164,73308.91153,1027053.449,1271376.61,39812.19118,318954.2914,111172.4456,920198.9753,86459.68017,392646.3631,169436.1811,268899.8458,2826173.25,14071.10671,15274.72863,61740842.24,11801558.01,1404.505276,215499.6757,85570.66727,1835626.12,56744.67141,472701.0261,71292.99552,76122.9981,50328117.59,684498.4909,801987.0165,537057.5404,395899.6961,601364.8979,39865.71505,1337135.11,120507.9408,0,32520.71419,99845.53063,459518.3358,150452.9692,2589374.624,209981.2005,139822433.7,1095695.304,406724.125,288342.9502,585774.5956,1861037.262,495623.4859,191119.8768,230111.0907,79860.80272,199165.4545,49047.11856,40336.44235,994132.3266,217279.9123,161074.6596,5513934.965,296809.83,430634.2611,3949754.095,228642.0445,5170347.423,0,25543,52075.87826,33344.37921,140131.776,41202.29249,36081.98794,108310.7321,18244.73367,41068.8203,1075353.739,69859.45158,54034.73747,38779.88486,22869.02123
PHE_1,2040576.271,62117.76873,29381.11382,926751.4782,488827.447,17656.03153,1913257.209,1640787.714,139057.663,72136.55077,323996.492,323643.639,59401.70921,250847.213,99172.74831,889732.1041,114312.0962,304526.36,152264.6526,480416.8641,17195549.64,952304.012,10149.88636,65102204.07,14301720.86,62650.20477,1262135.271,641190.479,1856993.983,32602.95187,1853419.7,214653.822,14791.45692,55965813.87,815362.7218,4609597.221,1079260.814,731552.1005,912414.1968,0,260607.2427,208161.2046,0,17544.42555,72224,341426.855,8205.65046,2145805.358,208378.708,179953315.5,182833.7523,207067.6474,190651.0583,207465.4744,1702311.779,547116.4282,260946.4624,126573286.8,39321.3273,467062.4642,70343.35873,475.2153751,1569030.366,169721.1809,0,5693715.807,268715.1145,497021.7531,1098120.732,338353.0087,2919846.171,0,35621.79002,124612.0584,27738.64147,0,38837.83117,98097.36541,125287.6601,27897.99963,68897.32167,1897504.296,46513.83213,49661.39729,35115.04984,42814
PHE_2,1720015.264,39870.09676,16093.13845,567931.033,379245.5165,34278.42471,1657865.525,1595261.253,0,55732.04713,217418.1167,235757.765,41700.58645,181313.8119,74231.96595,820826.7903,96610.92582,219540.2708,160525.7105,474294.666,9890450.529,728418.8023,12009.61057,48110695.12,9870352.456,63987.76404,1055611.673,473042.6885,1359136.587,48212.97307,1091359.365,206652.2724,76332.07757,40194243.28,496170.8529,3048070.309,921329.2887,302177.363,576817.1635,214607.1021,157456.5396,154980.6716,0,88852.58534,94102.77174,238125.5371,188470.4795,1700726.226,161303.3061,162359956.2,199377.8511,185366.228,140190.1248,137204.8153,1494226.425,463461.6626,209088.6659,30102565.37,48526.49431,421251.4362,64378.33712,0,1304996.332,104870.6859,0,3720353.288,189238.8102,402800.4519,851287.1702,84058.09215,2108620.469,0,27947.08435,44476.73973,26152.15395,565.9806656,35347.05463,72820.82375,113649.5093,21830.58759,59804.93927,1686060.621,44079.80613,27107,35295.41412,39200.65943
PHE_3,1587764.505,46410.23775,9265.648055,538910.5951,351121.7984,46926.60926,1437947.627,1592373.937,79803.27844,158493.9659,185075.6159,200111.4266,54224.80308,160125.8942,52248.61657,617263.2285,111963.5523,188264.5197,200893.0236,430427.4884,9565445.096,567673.4863,6968.497393,42570509.46,9221024.28,45261.32046,655168.8351,366619.2877,1103987.871,49188.08806,1299934.578,242538.6812,3173.130663,34745416.69,567399.3189,3422106.752,724056.0881,0,417079.8696,19304.90869,144713.086,120487.198,0,85431.02529,253701.7414,218354.0555,154502.7134,1283536.841,154934.6746,145351201.8,257301.3594,127180.3877,142040.9949,118220.3836,1265343.644,378205.1453,184236.1998,104823529.9,23065.28057,259585.7775,61581.09021,0,1161699.3,86225.71289,0,3393311.704,203847.0996,385677.4127,665393.8664,86851.79454,2011782.474,0,49283.78719,66186.13742,13733.44791,0,29388.86864,52348.61379,97472.97772,15882.12886,98038.05559,1505561.003,30046.62089,9039.363119,9387.535849,1790.613584
GLC/PHE_1,5320455.933,75728.42913,84282.47815,269978.4926,534609.9798,54335.89125,2219697.781,1831849.039,235961.8236,216710.7909,296610.3692,326491.4372,21505.44221,269814.7337,91030.15398,1535088.211,105659.2096,326640.9947,154094.3458,443246.0047,4812070.45,1332786.403,10079.15798,62176378.27,8184973.274,133131.8882,330496.2242,307166.6357,7093524.386,48153.71613,1623302.231,611136.4886,1528285.323,52007535.98,1512110.315,1821969.564,4003796.885,1200947.035,753247.0036,0,786740.0152,155153.2591,318603.6632,51765.74474,484226.2734,252012.5033,180825.0147,1737325.831,224792.3804,149232967.9,874562.943,355992.1375,255866.5226,258374.0886,1731038.325,551083.9204,308267.8777,41542314.23,47682.12089,458013.1784,74674.76325,0,1277929.776,272967.0807,0,8313400.165,367979.7948,634884.003,1511655.984,221313.8556,5035324.631,7005.593628,60409.5959,89612.84501,14086.95965,0,118438.3792,119288.0897,334427.237,45598.67413,48014.3978,1664951.537,68660.57585,64619.09936,62026.67803,87521.04414
GLC/PHE_2,4040092.502,55793.05567,42815.82702,251311.2993,455045.118,40411.43365,1961972.967,1693129.858,224289.2373,38717.69241,199335.4792,158452.1138,31789.80332,197475.7343,69479.84472,427645.658,139989.7747,248550.0656,194634.6632,394086.3112,3908804.817,1159944.611,13323.58295,56217930.96,6753418.1,104129.9311,221324.3372,228880.0124,5217579.142,180115.4441,1290416.829,681177.5747,113296.3235,45284616.06,874012.2859,1449417.063,3399061.638,896281.0612,699055.0147,0,600493.8931,109540.9321,278854.3246,105906.4467,296652.8261,203678.6162,186205.9967,1543914.838,214442.3942,144776807,443205.7626,306258.0055,175504.1228,130463.3042,1582726.51,450453.7638,251295.0556,125847231.4,35253.7171,410265.9036,52141.17017,0,1266281.658,148528.0991,0,5740135.455,264853.2367,467878.6458,1156251.055,336407.4286,3778261.545,6757.360206,85884.66922,93521.46517,36234.84167,0,39006.24934,94815.79012,272614.2275,41030.44571,51066.75909,1732534.307,56863.15912,52704.76924,18729.96042,48785.62048
GLC/PHE_3,5874447.4,100614.7628,82763.97424,251915.9888,507102.4082,28787.93227,2760299.461,1883379.831,248758.7374,162162.795,310796.141,333793.4385,48858.42666,264587.9899,98699.51824,1106044.598,131834.4127,312379.5605,98357.90075,505432.6389,4472798.864,1728749.122,13959.22617,85870346.95,10427757.93,117030.7268,339481.8479,332702.4997,9046394.905,77362.13319,1818487.925,9298766.489,481594.4665,57445668.86,1391527.273,1859422.282,4948174.649,731761.1853,870835.9013,136475.79,923319.8943,176244.2074,383175.882,17351.00481,307406.1161,253398.9091,158796.043,2206717.728,194005.6803,170750164,696836.3993,380619.9247,237514.4584,249474.4501,1515029.976,746674.3245,168084.1562,46641174.47,58577.9656,68137.4293,69342.9659,6110.392642,1504007.589,160443.2162,39297.58989,6809161.135,212926.731,587630.758,1749667.696,286143.5476,7385129.726,8706.005935,77968.50542,61693.9982,29442.01627,56144.58886,80958.70807,161481.3512,505503.3518,66318.16352,46242.25148,1822146.017,79213.5657,75589.58857,45336.54986,77129.95473
AMIX_1b,19734542.56,274822.6378,252025.54,1748443,747663.7436,17617.16928,3514744.579,2483468.321,145069.2911,341270.398,430239.1305,369158.6924,74451.58683,220190.1832,104331.8732,7006278.338,148474.5443,195249.7304,266394.0734,1672988.614,30268514.81,839916.2072,6577.44353,42257332.68,10702589.89,34248.75865,1694575.469,2284255.809,3641509.345,97888.89408,1393560.967,1163186.259,400834.9447,24309077.07,2644569.681,7960952.685,3149008.665,3648592.716,899934.184,454417.0054,160380.1277,328187.0914,169188.31,173526.668,314822.5795,155080.7242,255888.01,1751919.372,704151.7261,157227390.9,1639744.557,310852.5003,142573.9348,259195.6291,1986981.648,364189.5404,393573.1042,200559082.6,363860.5731,115765.8623,98021.15813,38532.48195,1986615.106,82144.74556,35153,6887293.925,188138.6065,1797103.484,1629399.295,456280.8312,7556501.64,209004.6761,108350.6366,97402.6874,28483.55925,0,31171.57765,217832.2801,43597.21254,55704.05209,65084.03273,2232680.467,75696.20731,98092.04018,11086.77324,136583.4877
AMIX_2b,21580766.29,232556.9408,360598.2283,1655718.005,730424.7882,16733.75967,3450981.035,2363186.045,195304.4353,334612.2884,395793.2336,282222.7382,64919.77546,282802.5175,109053.3762,7446420.576,122008.3922,230885.9725,179719.8966,1382088.474,31249934.69,933265.4925,6198.425153,40195435.14,10066038.32,1460.089581,1815436.682,2672654.674,4055927.173,102323.1403,1525463.658,1111193.937,644075.9628,19399981.43,2764752.955,9935818.353,3570317.422,4195611.315,920453.3809,205633.6033,194589.184,297447.1002,170627.1679,260210.408,396975.298,162887.9426,262638.9726,1867107.978,687641.8769,148072204.8,1999362.416,336321.9563,149145.3816,212391.0443,2295521.782,385369.6765,331498.9694,212836058.9,249953.1758,160715.3716,116372.0847,36922.13389,2078471.786,89644.31873,31807.40924,6306198.573,232944,1521086.05,1778626.06,475428.6199,5281240.156,220586.6278,102453.3157,73226.31299,44191.97897,2210.823045,34299.33997,167044.4549,88821.68978,86602.65128,51589.41083,2685002.108,81289.56191,180094.4978,312998.6734,229287.6505
AMIX_3b,15944777.8,297452.001,237547.2887,1077434.327,570845.796,24811.62993,2794280.997,1985494.087,124752.0228,251951.8778,411098.9635,334242.4852,38590.30246,210301.4202,94793.94413,5682098.081,123242.9712,145536.2462,214354.3206,1615114.197,19517873.36,635760.9858,8585.161214,31490058.41,7990513.077,206062.7436,1256285.46,2584938.203,2594392.377,56175.69508,1041381.231,769558.1571,836435.4077,33742.05247,2428895.084,7335381.467,2332821.929,2413122.474,704228.7089,141200.1422,105507.5412,253386.7611,145280.3087,119557.914,286762.4857,132874.3178,216436.8611,1450895.401,580828.6048,141087523.1,1998629.132,272696.2274,56247.6186,297486.1441,1308643.595,286463.0156,241379.9498,199574662.9,308336.6968,328831.8564,93075.51801,37333.4955,2020328.99,86012.01611,43262.14811,5885970.573,616704.7575,1403632.173,1378176.751,394695.8758,6515443.927,190968.5468,84893.54894,48274.73313,23092.81508,25464.52008,35125.69564,149282.3998,33946.42482,42452.02049,48225.7322,1901193.047,48569.57321,149368.4548,238626.9182,94200.17156
AMIX_1a,15162280.88,415540.7152,271752.3762,72902.08497,594252.4445,30943.57956,2485640.047,1821222.863,228090.2971,220103.45,331505.5842,241360.9473,55741.73559,305873.5163,159915.2514,4473318.467,145109.2876,329500.4758,164608.9805,967037.7989,6288164.571,1833000.314,90361.55301,51469533.38,51262.97376,114064.9516,622571.5595,855415.1018,6563650.829,151197.1989,1728154.374,385105.9878,3098491.047,30120009.47,1898937.744,3208841.639,4580951.414,1933046.791,433757.5963,83952.64264,596182.9865,312556.3288,164667.4551,266478.5145,718192.2575,211745.044,203540.4464,2974569.612,153024.4271,83796156.86,5159580.503,187909.3971,116910.4933,93791.90353,1853429.066,226989.2975,591422.1391,205703626.7,163703.6496,127755.2437,53198.47851,18624.48429,1039435.718,357321.28,86480.87502,10044991.03,388335.6927,1143047.066,2767222.339,458218.3739,9681598.803,16007.01544,132103.7593,46033.97162,65791.95676,0,46002.15192,45797.01793,244917.9394,30514.71741,41711.03619,1191269.792,74966.12969,115508.2751,228659.3867,86825.61746
AMIX_2a,18852341.72,414698.8283,282297.4352,2048534.514,631378.7495,34596.49303,3083610.049,2065605.094,267275.4758,440350.1855,493661.3041,392290.1894,49014.10571,157262.5725,121580.0226,6746537.637,101329.6721,116549.4623,154163.8836,1374450.385,39392352.4,937847.9586,116806.3997,43068975.98,490951.1135,169347.45,1130694.447,1972408.86,5156550.963,143216.414,2043527.473,584940.1539,1087173.475,26195884.96,5123530.646,10212636.78,4693346.52,4726271.278,859150.8834,142474.0689,185027.8792,330142.5996,271708.4024,186434.8455,626931.3929,142121.013,236513.168,2531607.993,461121.2558,105150428.5,3987438.581,186643.6647,203151.5376,250648.1423,1439418.42,328960.6123,504061.7053,221195368.5,320343.3586,117461.7142,60363.19803,36427.47424,1631374.301,319232.2726,378320.6454,9565257.492,550834.9008,1741672.68,2568547.034,475280.0083,9326859.245,0,121452.488,56328.8248,192791.2712,87602.90497,0,152281.8303,42215.30618,38377.21896,46684.49842,1857530.452,105883.8461,0,325605.6946,141179.0162
AMIX_3a,17011829.74,519245.3363,293529.2016,1604691.312,588287.2297,23911.45154,2584467.95,1626023.237,247298.1744,211315.0655,324032.0481,268843.7896,24124.65532,187173.3775,90070.85293,5400629.628,126009.0545,184869.9217,159706.8796,1714331.935,25985511.15,982232.1125,88118.58718,36057081.92,154313.5823,115716.8757,983340.1898,1397863.174,4374322.073,153795.2588,1354260.248,391588.8171,1954546.481,15668733.82,2936306.869,5821371.549,3805898.854,3196372.858,372096.4382,458710.6838,365924.2975,357243.0478,125814.8444,306895.2906,552403.8415,163027.0461,231871.0625,2318922.138,356085.2231,95124254.37,4998994.366,182030.3234,107820.8775,137506.8101,1520568.131,272645.1641,756681.5155,215123835,195628.833,109302.9907,57007.31129,32734.94425,1011501.875,200852.2274,0,8962916.866,452146.3934,1677262.643,2368632.604,380610.2467,8608314.145,75710.19591,123358.1901,40799.77318,57945.46767,702.4428372,23074,34347.97298,122255.6453,19943.32765,57419.77426,1159950.522,64468.45309,326645.8251,354164.0088,79667.85546